,User,Location,Tweet
0,ItsCalebTai,"Nairobi, Kenya",My EMANCIPATED Constituents saying NO to handouts from the area MP OsoroSylvanus They need LIFECHANGING policies amp not shortterm handouts while suffer in the longterm BBI is informing amp enlightening
1,Unknown_sapien,Nairobi,About BBI and other stories
2,BoylanInteriors,"Peachtree Corners, GA",Who wouldnt love to spend the weekend in this beautiful and modern billiards roombridgetteboylaninteriors boylaninteriors bbi theoryhomes billiards design designinspo designinspirations atlantainteriordesign interiordesign
3,EmuaminI,,kaapitano Mahali baba ako pia sisi tuko I believe Rao ameweza BBI
4,Karumba_Ndiritu,"Laikipia, Kenya",citizentvkenya BBI cannot be the jury cant convictneither is it prosecutor Its the penal code that guides these issues with evidence corrected professionally by the investigatorand present well by the prosecutorno need for BBI
5,ricky____G____,HELL💀,10over10WillisRaburu na KOB wanakaa brothers vile wamenona hapo studio10over10Watching from homeflownachromeBillyNaMbarukSOSFEST BillGates astonvillaleedsBBI
6,DisabilityandP1,,The winnertakesall politics make electioneering period in many African countries a bloody affair The stakes are too high Presidential candidates either win bigly or lose biglyThats something that the BBI is attempting to change in Kenya by expanding the Executive
7,chemiatiisaac,Elburgon,MarthaKarua Judiciary We are there watching every movementBBI BIG NO
8,Rev09967646,Global,BBI Surelywith devolutionwhy CENTRALIZE POWER to IMPERIAL PRESIDENTDEPUTIZED AND PROPPED UP BY AN EXECUTIVE PM DEPUTIZED BY 2 HANGERS ONEXPANDED BY A HEAVY TAX CONSUMING LEGISLATUREWith devolutionwho needs more power at the Center
9,mulehi_anne,"Nairobi, Kenya",BBIReport BBI
10,Sirabdul007,"Garissa, Kenya",BBI is killing kenya
11,mykenyanlink,Atlanta via Kenya,Visiting my second Home of Dallas TXMyKenyanLink NewNormal BBi PostCOVID19Travels Delta TembeaUSA TimoTembea
12,KIPLANGAT_EZRA,"Nairobi,Kenya",Philehsanchez wilfredtanui1 VinceKirii1 LizSolo7 jahjahkid1 Reubenmugao VybezRadioKE ZJHENO MuzikalSheriff KevMatara deejaypatiz kwambox NaziziHirji DJYOUNGKENYA Dj2one2 ktnbtv ivyokonji maggienyaga TehutiRA isakimdreader MarcosM50304681 JahDidi mwangiwashamata LadySon08072130 kevoh4mhumble dhepartoh NderebaMurea VybezNationAllStarParty everything on the BBI is nonsense only one which can make sense is HELBpage payment extension hakuna ingine yote ni matope
