,User,Location,Tweet
0,ajiraKE,"Nairobi, Kenya",5K strong followers Thanks everyone Happy holidays
1,ajiraKE,"Nairobi, Kenya",Are you a blogger or influencer Are you looking to monetize your services Sign up for rippleflare account today Rippleflare KOTLoyals
2,ajiraKE,"Nairobi, Kenya",Derrickwanjawa TelkomKenya You can post the job at for free and applications will be delivered right into your inbox
3,ajiraKE,"Nairobi, Kenya",Check out ikoKaziKE ajiraKE via ajiraKE
4,ajiraKE,"Nairobi, Kenya",1K followers Big thanks to our followers
5,ajiraKE,"Nairobi, Kenya",trippygotours is hiring ikoKaziKE ajiraKE via ajiraKE
6,ajiraKE,"Nairobi, Kenya",Social Media Vacancy via BromeoKatana ikoKaziKE ajiraKE via ajiraKE
7,ajiraKE,"Nairobi, Kenya",Sign Language Interpreter via Njiwamedia ikoKaziKE ajiraKE via ajiraKE
8,ajiraKE,"Nairobi, Kenya",Accountant job via VNyambane ikoKaziKE ajiraKE via ajiraKE
9,ajiraKE,"Nairobi, Kenya",Merry Christmas from all of us at AjiraKE
10,ajiraKE,"Nairobi, Kenya",Project manager needed via Ammyllyy ikoKaziKE ajiraKE via ajiraKE
11,ajiraKE,"Nairobi, Kenya",Any developers looking to go cloud Use the link and get 100 credit
12,ajiraKE,"Nairobi, Kenya",Actuarial Assistant needed via CameronJr2 ikoKaziKE ajiraKE via ajiraKE
13,ajiraKE,"Nairobi, Kenya",Kimanifulani Whats the hitch
14,ajiraKE,"Nairobi, Kenya",Security officers at Securex ikoKaziKE ajiraKE via ajiraKE
15,ajiraKE,"Nairobi, Kenya",Mercury Lounge is hiring a lounge manager ikoKaziKE ajiraKE via ajiraKE
16,ajiraKE,"Nairobi, Kenya",Check out ikoKaziKE ajiraKE via ajiraKE
17,ajiraKE,"Nairobi, Kenya",Digital Campaign Lead Job ikoKaziKE ajiraKE via ajiraKE
18,ajiraKE,"Nairobi, Kenya",Sales Executives pawait ikoKaziKE ajiraKE via ajiraKE
19,ajiraKE,"Nairobi, Kenya",ushurucoke is hiring accounts interns ikoKaziKE ajiraKE via ajiraKE
20,ajiraKE,"Nairobi, Kenya",izoneafrica is hiring ikoKaziKE ajiraKE via ajiraKE
21,ajiraKE,"Nairobi, Kenya",NakalaAnalytic is hiring data analytics interns ikoKaziKE ajiraKE via ajiraKE
22,ajiraKE,"Nairobi, Kenya",Check out ikoKaziKE ajiraKE via ajiraKE
23,ajiraKE,"Nairobi, Kenya",Events manager at Hivos ikoKaziKE ajiraKE via ajiraKE
24,ajiraKE,"Nairobi, Kenya",Knowledge Management Intern ikoKaziKE ajiraKE via ajiraKE
25,ajiraKE,"Nairobi, Kenya",Software Developer Job ikoKaziKE ajiraKE via ajiraKE
26,ajiraKE,"Nairobi, Kenya",Account Manager Job ikoKaziKE ajiraKE via ajiraKE
27,ajiraKE,"Nairobi, Kenya",Today we feature Reginald Alango a content creator and writer His niche is in tech cryptos website copy and production description Find out more about him at and hire him IkoKaziKE
28,ajiraKE,"Nairobi, Kenya",ProjectAccounts assistant ikoKaziKE ajiraKE via ajiraKE
29,ajiraKE,"Nairobi, Kenya",Youth and Livelihood Program Manager ikoKaziKE ajiraKE via ajiraKE
30,ajiraKE,"Nairobi, Kenya",Today we feature Banks Mwangi a professional allround deejay Banks has performed in private and corporate events as well as international gigs Check out his profile at and hire him
31,ajiraKE,"Nairobi, Kenya",HR Assistants at WFP ikoKaziKE ajiraKE via ajiraKE
32,ajiraKE,"Nairobi, Kenya",WFP is hiring interns ikoKaziKE ajiraKE via ajiraKE
33,ajiraKE,"Nairobi, Kenya",KPLC is hiring interns ikoKaziKE ajiraKE via ajiraKE
34,ajiraKE,"Nairobi, Kenya",Today we feature Steve Nyariaro a selfdriven goal oriented and assertive professional who has experience in Telecom Networks Steve is a certified CCNA professional More in his profile at IkoKaziKE
35,ajiraKE,"Nairobi, Kenya",MikeOkinyi is looking for sports interns ikoKaziKE ajiraKE via ajiraKE
36,ajiraKE,"Nairobi, Kenya",Pam Golding is hiring marketing coordinator ikoKaziKE ajiraKE via ajiraKE
37,ajiraKE,"Nairobi, Kenya",Debt collectors gig via ladbadhur ikoKaziKE ajiraKE via ajiraKE
38,ajiraKE,"Nairobi, Kenya",Cytonn is hiring office assistants ikoKaziKE ajiraKE via ajiraKE
39,ajiraKE,"Nairobi, Kenya",Today we feature Kelvin Muriuki a social science graduate from The University of Nairobi He has skills in project management research and analytical skills Checkout his profile here and hire him
40,ajiraKE,"Nairobi, Kenya",Directly contact talent we have added a Contact Button to talent profiles to send a message to a talent for purposes of hiring them e g If you want them to send you a resume IkoKaziKE ajiraKE
41,ajiraKE,"Nairobi, Kenya",Sales representative job via Janeece4 ikoKaziKE ajiraKE via ajiraKE
42,ajiraKE,"Nairobi, Kenya",Our feature talent today is Claire Kinyanjui Claire is a lawyer writer and a lover of life She has 5 years experience in legal field and social media marketing Here is her profile
43,ajiraKE,"Nairobi, Kenya",Data Entry Clerk Job ikoKaziKE ajiraKE via ajiraKE
44,ajiraKE,"Nairobi, Kenya",Internship Brand management at Procter amp Gamble ikoKaziKE ajiraKE via ajiraKE
45,ajiraKE,"Nairobi, Kenya",Today we feature Jostin Wambui a finance graduate looking for experience and opportunities in accounting and finance She prides herself as being able to commit to results and cope with the dynamic changes in job environment Check her profile to hire her
46,ajiraKE,"Nairobi, Kenya",Are you young journalist Are you interested in going to Finland Here is a chance for you ikoKaziKE ajiraKE via ajiraKE
47,ajiraKE,"Nairobi, Kenya",Dimension Data is hiring ikoKaziKE ajiraKE via ajiraKE
48,ajiraKE,"Nairobi, Kenya",Schneider Electric is hiring ikoKaziKE ajiraKE via ajiraKE
49,ajiraKE,"Nairobi, Kenya",Ericsson is hiring ikoKaziKE ajiraKE via ajiraKE
50,ajiraKE,"Nairobi, Kenya",Quality analyst job at Diageo ikoKaziKE ajiraKE via ajiraKE
51,ajiraKE,"Nairobi, Kenya",Our todays feature talent is Jonathan Mutinda He has a bachelors degree in commerce finance and is certified public accountant He has 4 years experience in audit accounting and credit control Check out his profile here
52,ajiraKE,"Nairobi, Kenya",World Food Programme WFP is Hiring monitoring assistants at Kakuma ikoKaziKE ajiraKE via ajiraKE
53,ajiraKE,"Nairobi, Kenya",Administrative assistant needed at NCCK ikoKaziKE ajiraKE via ajiraKE
54,ajiraKE,"Nairobi, Kenya",Receptionist Job at NCCK ikoKaziKE ajiraKE via ajiraKE
55,ajiraKE,"Nairobi, Kenya",As we continue hustling lets put safety first With NairobiRains we urge all Nairobians and Kenyans at large to stay safe
56,ajiraKE,"Nairobi, Kenya",Today we feature Yvette Mugudo She describes herself as gogetter team player and a problem solverShe is a GIS analyst environmental scientist and a blogger Check out her profile at and hire her IkokaziKE ajiraKE
57,ajiraKE,"Nairobi, Kenya",Accountants in demand Check the link for details KenyanRecruiter ikoKaziKE ajiraKE via ajiraKE
58,ajiraKE,"Nairobi, Kenya",Clients service officer needed Elainekowkow ikoKaziKE ajiraKE via ajiraKE
59,ajiraKE,"Nairobi, Kenya",EsriEA is hiring Check out job description here ikoKaziKE ajiraKE via ajiraKE
60,ajiraKE,"Nairobi, Kenya",AbuyaDee Hello Mama Kiaan At ajiraKE we provide you with a platform where you can market your skills and get leads for jobs for free Sign up at
61,ajiraKE,"Nairobi, Kenya",Introducing Michael a Computer Scientist with experience in Android Java and Laravel among others Got any gigs in Web and android developement hes your guy Check out profile IkoKaziKE ajiraKE
62,ajiraKE,"Nairobi, Kenya",Elainekowkow You can now post all your jobs at for free and get quality applicants IkoKaziKE ajiraKE
63,ajiraKE,"Nairobi, Kenya",Elainekowkow You can now post all your jobs at for free and get quality applicants IkoKaziKE ajiraKE
64,ajiraKE,"Nairobi, Kenya",Opportunities at Obama Foundation ikoKaziKE ajiraKE via ajiraKE
65,ajiraKE,"Nairobi, Kenya",Software developers needed ikoKaziKE ajiraKE via ajiraKE
66,ajiraKE,"Nairobi, Kenya",Got any video gigs mercymurugi LeonLidigu MwalimChurchill Here is is Gibson looking for video jobs IkoKaziKE ajiraKE
67,ajiraKE,"Nairobi, Kenya",Introducing Gibson Michira a video editor who proficient in Archcard and is pursuing diploma in Architecture He likes to describe himself as a poet Got any video gigs He is your guy More on his profile
68,ajiraKE,"Nairobi, Kenya",Introducing Joshua Kariuki Joshua loves what he does and he does it to the highest standards He enjoys challenges learning new things and values team work See full profile at
69,ajiraKE,"Nairobi, Kenya",Kijomba045 NalilKe You can now create a profile advertising your skills and get leads to opportunities Share your profile on social media and create your own network Go to and get started
70,ajiraKE,"Nairobi, Kenya",kiqwai Hi Kikwai We have so many talents with web development and programming skills and experience at Post all your web jobs and projects and you will have plenty of indigenous applicants
71,ajiraKE,"Nairobi, Kenya",Check this profile of a 30year old experienced driver MbaireM
72,ajiraKE,"Nairobi, Kenya",MbaireM Hello MbaireM check this profile it might interest you
73,ajiraKE,"Nairobi, Kenya",Mtandao JuuChini Hello Mtandao JuuChini ajiraKE is a platform to post projects such as this one for free Once posted you have access to a pool of talent who will bid your project with details like budget You can as well share on Twitter and select Projects tab
74,ajiraKE,"Nairobi, Kenya",LeonLidigu cinjera kenya7s Couldnt have scored though
75,ajiraKE,"Nairobi, Kenya",MWANAUMENIE IkoKaziKE
76,ajiraKE,"Nairobi, Kenya",NIC Bank is hiring interns ikoKaziKE ajiraKE via ajiraKE
77,ajiraKE,"Nairobi, Kenya",One Acre Fund is hiring interns ikoKaziKE ajiraKE via ajiraKE
78,ajiraKE,"Nairobi, Kenya",pecnaturecamp Hello at ajiraKE we have made it easy for you to advertise your job needs for free Visit go to Post a Job select project to receive quality applicants Its all FREE
79,ajiraKE,"Nairobi, Kenya",davidjonnes2 You can now post all your jobs for free at and get quality applicants
80,ajiraKE,"Nairobi, Kenya",Multiple restaurant jobs here ikoKaziKE ajiraKE via ajiraKE
81,ajiraKE,"Nairobi, Kenya",JDolphine This is a follow up on your tweet yesterday I did sign upattended the programopened various accountsstill biddingnot yet lucky could you kindly DM has the specific issues you are having
82,ajiraKE,"Nairobi, Kenya",Internship here ikoKaziKE ajiraKE via ajiraKE
83,ajiraKE,"Nairobi, Kenya",Happy InternationalWomensDay from ajiraKE
84,ajiraKE,"Nairobi, Kenya",ladbadhur Hello What challenge are you having Can you DM us a screenshot
