,User,Location,Tweet
0,shecyclesnbi,Nairobi,IkoKazike
1,kaLefti,Nairobi,Late night designingNipeeni kazi ya kuwadesignia logos letterheads amp Business Cards wadau tufanyeni bizz
2,shecyclesnbi,Nairobi,IkoKaziKE Tips for managers
3,shecyclesnbi,Nairobi,IkoKaziKE Tips for managers
4,Kempes_B,Nairobi,We appreciate everyone who is demystifying blindness and encourage them to keep on registering the Blind by dialin
5,shecyclesnbi,Nairobi,Ati Birthdays off IkoKaziKE
6,shecyclesnbi,Nairobi,IkoKazike
7,kaLefti,Nairobi,Late night designingNipeeni kazi ya kuwadesignia logos letterheads amp Business Cards wadau tufanyeni bizz
8,shecyclesnbi,Nairobi,IkoKaziKE Tips for managers
9,shecyclesnbi,Nairobi,IkoKaziKE Tips for managers
10,Kempes_B,Nairobi,We appreciate everyone who is demystifying blindness and encourage them to keep on registering the Blind by dialin
11,shecyclesnbi,Nairobi,Ati Birthdays off IkoKaziKE
12,Otiken89,Nairobi,MuratheWedsKalonzoLogoDesign please RETWEETmy next client might be on your TL
13,MuhanjiIII,Nairobi,Chimano finally answers KOT after the MidnightTrainAlbumLaunch
14,IamPaulKips,Nairobi,350 am who is still awake Lets Follow everyone who LIKES and RETWEETS Will followback1DDriveKeaDrive
15,IamPaulKips,Nairobi,Follow everyone who LIKES and RETWEETS Will followback1DDriveKeaDrive hermainem KOT
16,Kenyan_Deportee,Nairobi,Kkatteg gitujude brianmutinda Lakini KOT nini huwasumbua
17,georgemervo,Nairobi,EmpressSal Nigerians eat dogs KOT
18,MMahila,Nairobi,SokoNaKazi I SELL OMENA AT AN AFFORDABLE PRICE SUN DRIED CLEAN OMENA 1 Gorogoro 2Kg Tin Kshs 270FRESH C
19,nya_bama,Nairobi,Sometimes the well thought out plans fail to work as originally conceived sharemyhustle soko
20,michelle_ajema,Nairobi,All available at my shop in Nrb CBD at SAWA Mall opposite Ebrahims Shopping mall Moi Ave 1st flr shop A4 Kari
21,michelle_ajema,Nairobi,Pillowcases pia ninazoIkoKaziKe ShareMyHustle
22,michelle_ajema,Nairobi,Msipitwe na hii bei safi wadauShareMyHustle IkoKaziKe
23,MMahila,Nairobi,I SELL OMENA AT AN AFFORDABLE PRICE SUN DRIED CLEAN OMENA FRESH CLEAN DEEP FRIED OMENA FRESH CLEAN FULUWIU
24,michelle_ajema,Nairobi,Yes ladies the days of wrapping your hair in panty hose aka stockings while going to bed are over Get a styli
25,carolly_arts,Nairobi,Hey KOT help me share this piece I did for SnoopDoggsharemyhustle art Mmemberville
