,User,Location,Tweet
0,CareerPointKe,Nairobi,IkoKaziKE Dont Be Left Behind Current Jobs Outside Nairobi To Apply ForCheck out the exciting opportunities
1,kazibidii,Nairobi,How we look at you with that fresh manicure and youve not downloaded Kazibidii App to request for Mama Fua to help
2,CareerPointKe,Nairobi,IkoKazi IkoKaziKETop Procurement Jobs To Apply For This New WeekApply now for these open vacancies
3,CareerPointKe,Nairobi,IkoKaziKE Dont Be Left Behind Current Jobs Outside Nairobi To Apply ForCheck out the exciting opportunities
4,kazibidii,Nairobi,How we look at you with that fresh manicure and youve not downloaded Kazibidii App to request for Mama Fua to help
5,MornachP,Nairobi,JerusalemaDanceChallenge Jerusalemachallenge DissolveParliament KOTHAPPENING NOWTinaKaggia
6,ragz2beechez,Nairobi,Kot you should watch this amazing piece by BoysChoirKenya SetTheMusicFree Kenyan Boys Choir
7,Amothekip,Nairobi,Mboga kienyeji agriculture kot
8,KijanaWaHome,Nairobi,Rotary Club of Thika RoadNjathaini Primry School Tree Planting DayPortfolio cc Gipra Concepts AfricaThe Link
9,KijanaWaHome,Nairobi,photography beauty wedding bride photographer pictures ikokazike sharemyhustle FridayFeeling
10,NonnsV,Nairobi,254icon Waithera ako na flats mbili huko nyuma unaeza dhani ni landlord
