,User,Location,Tweet
0,mimi_stores15,Pioneer House- Koinage Street ,0783505856 KES 1199othuolOthuol ikokazi ikokazike
1,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Security Officer JobClick here to apply
2,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Building amp Civil Engineering Trainer JobClick here to apply
3,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Head Cook JobClick here to apply
4,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Cateress JobClick here to apply
5,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Clinical OfficerNurse JobClick here to apply
6,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Hospitality amp Tourism Management Trainer JobClick here to apply
7,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Automotive Engineering Trainer JobClick here to apply
8,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Electrical amp Electronics Engineering Trainer JobClick here to
9,AcaciaX4,"Nairobi, Kenya",BTC 11300 level holding perfectly as anticipated Join us at and register for free to ge
10,CampoeKE,Kenya,ICYMI CAP Youth Empowerment Institute Facilitators Vacancies in Kisumu Kericho Kwale Kilifi Lamu amp Bungoma D
11,Its_Morrine,"Nairobi, Kenya",HONEY AVAILABLEPure Baraka Highland Honey1kg Ksh 800500g Ksh 500DM or WhatsApp 254718652870IkoKaziKE
12,CareerpointSolu,Nairobi Kenya,Post Edited 3 ways CV keywords can IKoKazi IkoKaziKe careeradvice2 cvediting cvwriting cvwritingtips
13,CampoeKE,Kenya,CLOSING SOON Applications for Attachment Internship Opportunities at Kenya Medical Supplies Authority Oct Dec
14,CampoeKE,Kenya,ICYMI Summit Recruitment and Search is recruiting for a Financial Analyst Intern Nairobi Sal 50k DDL 30th
15,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Event Coordinator JobClick here to apply
16,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Customer Service Representative JobClick here to apply
17,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Administrator JobClick here to apply
18,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Data Analyst JobClick here to apply
19,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Electrical Engineer JobClick here to apply
20,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Data Engineer JobClick here to apply
21,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Technical Writer JobClick here to apply
22,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Commercial Real Estate Agent JobClick here to apply
23,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Commissioning Technician JobClick here to apply
24,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Project Estimator JobClick here to apply
25,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Executive Assistant JobClick here to apply
26,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Full Stack Engineer JobClick here to apply
27,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Sales Director JobClick here to apply
28,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Finance Manager JobClick here to apply
29,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Assistant Manager JobClick here to apply
30,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the General Manager JobClick here to apply
31,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Sales Manager JobClick here to apply
32,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Designer JobClick here to apply
33,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Head of Project Kenya JobClick here to apply
34,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Architecture JobClick here to apply
35,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Factory Junior Supervisor JobClick here to apply
36,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Accountant JobClick here to apply
37,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Senior Technician JobClick here to apply
38,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Front End Developer JobClick here to apply
39,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Accounts Payables JobClick here to apply
40,KaziQuest,"Nairobi, Kenya",Looking for more job opportunities Check out the Web Designer and Digital Publisher JobClick here to apply
