,User,Location,Tweet
0,ikokaziKE,Kenya,Are you a qualified graphic designers akiChester just posted a job you might be interested in
1,ikokaziKE,Kenya,Are you a qualified ba Finance501 just posted a job you might be interested in
2,ikokaziKE,Kenya,Are you a qualified finance Finance501 just posted a job you might be interested in
3,ikokaziKE,Kenya,Are you a qualified graphic design virtualpay just posted a job you might be interested in
4,ikokaziKE,Kenya,Are you a qualified digital marketing officer MUTIIINDA just posted a job you might be interested in
5,ikokaziKE,Kenya,Are you a qualified office DIBBankKe just posted a job you might be interested in
6,ikokaziKE,Kenya,Are you a qualified finance amp amp administration officer ActionAfricaHI just posted a job you might be interested in
7,ikokaziKE,Kenya,Are you a qualified intern giftedPWDcentre just posted a job you might be interested in
8,ikokaziKE,Kenya,Are you a qualified intern SimonIngari just posted a job you might be interested in
9,ikokaziKE,Kenya,Are you a qualified business administration manager SuperiorHomesKe just posted a job you might be interested in
10,ikokaziKE,Kenya,Are you a qualified human resource SuperiorHomesKe just posted a job you might be interested in
11,ikokaziKE,Kenya,Are you a qualified engineering KaziQuest just posted a job you might be interested in
12,ikokaziKE,Kenya,Are you a qualified ict intern RWayodi just posted a job you might be interested in
13,ikokaziKE,Kenya,Are you a qualified csr analyst SimonIngari just posted a job you might be interested in
14,ikokaziKE,Kenya,Are you a qualified qualifications username just posted a job you might be interested in with years experience
15,ikokaziKE,Kenya,Are you a qualified qualifications username just posted a job you might be interested in with 5 experience
16,ikokaziKE,Kenya,Are you a qualified intern Sanergy just posted a job you might be interested in
17,ikokaziKE,Kenya,Are you a qualified sales and HisiaPsychology just posted a job you might be interested in
18,ikokaziKE,Kenya,Are you a qualified sales executive KaziQuest just posted a job you might be interested in
19,ikokaziKE,Kenya,Are you a qualified office coordinator KaziQuest just posted a job you might be interested in
20,ikokaziKE,Kenya,Are you a qualified sales manager KaziQuest just posted a job you might be interested in
21,ikokaziKE,Kenya,Are you a qualified sales agent KaziQuest just posted a job you might be interested in
22,ikokaziKE,Kenya,Are you a qualified sales manager KaziQuest just posted a job you might be interested in
23,ikokaziKE,Kenya,Are you a qualified clinical officer SimonIngari just posted a job you might be interested in
24,ikokaziKE,Kenya,Are you a qualified word artists SimonIngari just posted a job you might be interested in
25,ikokaziKE,Kenya,Are you a qualified business development manager codingjobske just posted a job you might be interested in
26,ikokaziKE,Kenya,Are you a qualified qualifications username just posted a job you might be interested in
