,User,Location,Tweet
0,IkoKaziKenya,,RT HonTimWanyonyi Our NG CDF committee invites applications for qualified suppliers contractors amp service providers for the next financ
1,IkoKaziKenya,,RT ndacuwachira How it started how its going ElejancontractorsWe are dedicated and ready to offer you good services IkoKaziK
2,IkoKaziKenya,,RT Denisetranquil And did I mention government is the best employer IkoKaziKenya IkoKaziKE
3,IkoKaziKenya,,RT GoodKitchenKe Kitchen sets available3500 per setFree delivery within Nairobi CBD
4,IkoKaziKenya,,RT GoodKitchenKe This cup is available at 1000Best for your officeFree delivery within Nairobi CBD
5,IkoKaziKenya,,RT transtrailer WE ARE HIRINGWe are looking for a Mechanical Engineer to join our team You should be able to work with minimum superv
6,IkoKaziKenya,,RT Finance501 JOB Advisor Supply Chain Information Systems RESCUEorg Nairobi KE NGO Degree 68 years of experience in plann
7,IkoKaziKenya,,RT Finance501 JOB Chief Risk Officer FamilyBankKenya Nairobi KE Banking Services Bachelors degree in Accounting Finance Ec
8,IkoKaziKenya,,RT CovetedHrKe Our clients in the Automotive Industry and in the FMCG industry are looking to fill the following positions Visithttps
9,IkoKaziKenya,,RT SirLV Access to Finance Specialist opening with PalladiumImpact iKoKaziKE
10,IkoKaziKenya,,RT ItsJobu Wasee wangu wa FinanceAccounting tuchangamkie hii kazi IkoKaziKE
11,IkoKaziKenya,,RT clarenceokune IkoKaziKE IkoKazi
12,IkoKaziKenya,,RT Osamaotero Anyway kama unasaka kazi this app might help you big time Just use the tag IkoKaziKe
13,IkoKaziKenya,,RT Osamaotero Breakdown driver needed based around Nairobi IkoKaziKe
14,IkoKaziKenya,,RT HonTimWanyonyi Please share this info with youths running small amp medium size businessesikokazike
15,IkoKaziKenya,,RT WanderlustAfri Were Hiring Wanderlust Africa Ventures is Looking for a Travel Consultant and Social Media Intern Please Share
16,IkoKaziKenya,,RT Fbillionare Jambo our company is looking to hire 4 Frontend developers proficient in any Javascript frontend Framework React or A
17,IkoKaziKenya,,RT stephumulinge Ojwa PRs looking for a PA amp a Social media Manager RT they might be on your TL IkoKaziKe
18,IkoKaziKenya,,RT phiniendegwa I have an opportunity for a qualified project manager with experience full time job Feel free to send your CV and cov
19,IkoKaziKenya,,RT anjipendo Got my first job in Nairobi through the ikokazike hashtag way back thenUser the hashtag to recruit and got some candidat
20,IkoKaziKenya,,RT KELINKenya IkoKaziKe We are looking for a consultant to do a comparative study on AccessToSRHR during the COVID19 pandemic in Ken
21,IkoKaziKenya,,RT KELINKenya IkoKaziKe Here is another opportunity to work with KELINKenya Check out the requirements for this consultancy and appl
22,IkoKaziKenya,,RT aajumboo IkoKaziKenya
23,IkoKaziKenya,,RT kamulu ajiraKE IkoKaziKenya ikokaziKE
24,IkoKaziKenya,,RT bosiboriKe Hey guys you can vote Mama IkokaziKe Rose Munuhe for the Kotex Award Dhenks in advance Link ndio hii
25,IkoKaziKenya,,Hey guys vote for me Rose Munuhe on this link you can only vote once its for a Kotex Award in regards to IkoKaziKE RT Widely amp Share Thanks in Advance KotexKenya
26,IkoKaziKenya,,RT IOMKenya Join the team We are hiringConsultant Engaging Migrants and Diaspora Communities for an Inclusive and Climate Resilient
27,IkoKaziKenya,,RT CBSNews New report says coronavirus pandemic could last for two years
28,IkoKaziKenya,,RT missnyaruai How I wish all my Sundays started wheeew
29,IkoKaziKenya,,RT IAMRAPCHA You can laugh at Bahati all you want but you too will marry a woman who has slept with other men
30,IkoKaziKenya,,Our 2nd webinar is this Wednesday We have a guest panelist smusyoka Specialist Digital Media at Aga Khan University He won the King of Facebook award in 2010TOPIC The right media channels for your COVID19 CommunicationFREE Registration
31,IkoKaziKenya,,RT ndacuwachira Are you having issues with ordinary tiles introducing to you quality and beautiful tiles that can be used in exterior an
32,IkoKaziKenya,,RT ndacuwachira Quality coloured CarbosWe do have them in plenty Prices rates from 1k to 1150Lets make your exterior look as beaut
33,IkoKaziKenya,,RT Silveroakstudio cindimuriuki I am a Graphic Designer with a specilization on Logobrand identity design I have designed over 50 log
34,IkoKaziKenya,,RT ahmillievictor Am looking for highly committed expert Academic writers for long term engangement Previous experience with EW Writerb
35,IkoKaziKenya,,RT cirunjoroge Anyone that doesnt have a spot to work online and might be interested in transcribing Halla IkoKaziKE
36,IkoKaziKenya,,RT sampaop Is there a Kenyan company that offers video conferencing platforms If so let me know RT IkoKaziKE
37,IkoKaziKenya,,IkoKaziKE FREE WEBINARWe invite you to our first webinar to discuss WHY brands need to stay alive during this COVID19 pandemic and HOW they can boost that brand immunityDATE 8th April 2020 at 11amFREE registration webinarsforgrowth
38,IkoKaziKenya,,RT Jijali1 Prepare yourself with skills that you need to set yourself up for successLearning made affordable and simple for you in th
39,IkoKaziKenya,,RT MbuguaFelix Why you should learn to market yourselfEntrepreneur technology WednesdayThoughts
40,IkoKaziKenya,,RT rosekamau Guys who is interested Really interesting
41,IkoKaziKenya,,RT sbmbankkenya FREE WEBINAR MARCH 26TH 2020 at 830AMAre you a business OWNER or LEADER We are inviting you to a FREE webinar At S
42,IkoKaziKenya,,RT IkoKaziKenya ikokazike Digital media buyer Preferably a junior media buyerWith at least 1 yr of experience in media buying on Face
43,IkoKaziKenya,,ikokazike Digital media buyer Preferably a junior media buyerWith at least 1 yr of experience in media buying on Facebook Google and Eskimi conversant with Google analytics and is good with generating reports and extracting insights Email cv to saharalion254gmailcom
44,IkoKaziKenya,,RT citizentvkenya UNEMPLOYMENT Rose Wahito Unemployment is a national disaster We need to create conversations around these DayBreak
45,IkoKaziKenya,,RT HILLA254 Proud to have been involved in this project 4yrs ago Today
46,IkoKaziKenya,,RT HabBradley mssheilakimani IkoKaziKenya Interesting getting to know a bit about you Amazing passions
47,IkoKaziKenya,,RT slyrie 10 things you didnt know about me Number 6 will shock you Get to know me One on One with Sylvia Kerubo slyrie Lif
48,IkoKaziKenya,,RT slyrie
49,IkoKaziKenya,,RT ISAafrica What do employers look for in potential employees Find out here IkoKaziKE ikokazikenya
50,IkoKaziKenya,,RT IkoKaziKenya I got to chat with mssheilakimani about studying International Relations how she gets to apply it in real life Also a
51,IkoKaziKenya,,RT IkoKaziKenya I got to chat with slyrie about her love for Food of course What i loved most about Sylvia is her SlyrieEats posts t
52,IkoKaziKenya,,RT mssheilakimani And I got featured Check this out via IkoKaziKenya
53,IkoKaziKenya,,RT Dreymwangi mssheilakimani
54,IkoKaziKenya,,I got to chat with slyrie about her love for Food of course What i loved most about Sylvia is her SlyrieEats posts that help consumers like me stay up to date with restaurant Offers Where did her love for blogging start IkoKaziKE
55,IkoKaziKenya,,I got to chat with mssheilakimani about studying International Relations how she gets to apply it in real life Also about her career and the various projects she has been a part of and the lessons she has learned IkoKaziKE
56,IkoKaziKenya,,RT OndariMogeni IkoKaziKenya ikokaziKE
57,IkoKaziKenya,,EZRAwaCHELSKI rosekamau gogagake B3laze
58,IkoKaziKenya,,RT WorkforceAfrica We are looking for a hardwood technician who is well versed in cutting and shaping tiles and various methods of instal
59,IkoKaziKenya,,RT B3laze rosekamau gogagake IkoKaziKenya Ayaya I always appreciate the love
60,IkoKaziKenya,,RT rosekamau Yow fam i got to talk about ikokazike thanks to gogagake IkoKaziKenya I highlighted the challenges the conversations
61,IkoKaziKenya,,RT PeterzMwash Tupatane Junction Mall Where Nominees of ZuriAwards will be exhibiting and interacting one on one on what they do and nex
62,IkoKaziKenya,,RT kenyancharles IkoKaziKenya please ask anybody who has ever applied for a job through the Public Service Commission and has been short
63,IkoKaziKenya,,RT HonTimWanyonyi Please circulate this widely so as to reach prospective applicants IkoKaziKenya Ikokazike
64,IkoKaziKenya,,RT Dreymwangi
65,IkoKaziKenya,,Fam Ikokazike got nominated gogagake
66,IkoKaziKenya,,RT bexmobby IkoKaziKenya
67,IkoKaziKenya,,RT AmrefKenya The following internship position are open for application Apply on our website under the categor
68,IkoKaziKenya,,RT IkoKaziKenya I got to chat with Fundi OsamaOtero one thing that stands out is his passion for his work which is definitely someth
69,IkoKaziKenya,,RT Carryone Huyo ni OsamaOtero na suti
70,IkoKaziKenya,,RT Morara Wau OsamaOtero Huna laptop na vile umezoea kunichokoza
71,IkoKaziKenya,,RT Wambzz Our nice pal OsamaOtero
72,IkoKaziKenya,,CrazyNairobian citizentvkenya
73,IkoKaziKenya,,I got to chat with Fundi OsamaOtero one thing that stands out is his passion for his work which is definitely something we can all admire IkoKaziKE
